size,sortedness,inversions,randomness,duplicate_ratio,entropy,variance,best_algo
331,0.5151515151515151,27910,0.7493900379522256,0.1903323262839879,5.9085673847728994,378.18858900521167,quick
1261,0.8357142857142857,86728,1.9569480818303542,0.0,10.300352560327996,505610.47083335166,quick
1114,0.8292902066486972,67087,1.8662182146092225,0.0,10.121533517340207,410465.1672374448,quick
19,0.5555555555555556,88,0.7572061026385855,0.3157894736842105,3.010570934268483,10.094182825484763,insertion
699,0.497134670487106,123224,0.7663580401478889,0.27753934191702434,8.222281287064305,14444.579650880782,quick
10,0.6666666666666666,14,1.5779087147122974,0.3,2.1709505944546685,2.1599999999999997,insertion
976,0.8297435897435897,57538,1.8558246300255774,0.0,9.93073733756288,320256.1636152916,merge
451,0.5,50258,0.7370937500608241,0.25055432372505543,7.626057774506183,5757.2792267491295,quick
345,0.8343023255813954,7638,1.7197564682177795,0.0,8.430452551665482,41086.65574459147,quick
20,0.7894736842105263,26,1.2892965471601274,0.0,4.321928094887363,129.58999999999997,insertion
45,0.5227272727272727,529,0.7234715253315994,0.26666666666666666,4.305540252212915,42.16,quick
1395,0.5043041606886657,489448,0.6977460156517483,0.0,10.446049406716822,4154853.299764391,merge
65,0.421875,1009,0.6966756333840115,0.18461538461538463,3.50023677019592,14.076686390532542,quick
48,0.5106382978723404,532,0.7476115277699723,0.1875,3.0846860742973052,6.360677083333333,quick
1628,1.0,0,0.6965552783555774,0.0,10.668884984266091,863591.3110100273,merge
485,0.5041322314049587,57526,0.6720251701585696,0.0,8.92184093707456,472075.05629078543,quick
11,1.0,0,0.5983516449047496,0.0,3.459431618637298,28.958677685950416,insertion
44,0.0,946,0.7700800316986088,0.0,5.4594316186372955,616.0495867768594,merge
1292,0.5011618900077459,419112,0.6923972040989653,0.0,10.335390354694008,3436727.3542902744,quick
271,1.0,0,0.730452527908044,0.0,8.082149041353835,24629.828923898098,insertion
45,0.8636363636363636,62,1.6120256187436819,0.0,5.491853096329673,631.8646913580249,insertion
48,0.0,1128,0.6188527474458496,0.0,5.5849625007211605,748.1419270833334,merge
1499,0.5066755674232309,548563,0.7088131574738787,0.19079386257505004,8.089625684726416,7592.931155793878,quick
622,0.8438003220611916,22920,1.8981852318668175,0.0,9.28077077013063,131745.73799898676,merge
10,0.5555555555555556,17,0.7769177449310658,0.0,3.321928094887362,211.81,insertion
522,0.4932821497120921,65637,0.7432366500099791,0.0,9.027905996569839,544765.6601782122,quick
51,0.0,1275,0.6855654596973216,0.0,5.6724253419715005,891.1126489811612,merge
415,1.0,0,0.6677159782809662,0.0,8.696967526234324,59749.09853970097,insertion
38,0.0,703,0.6913475478881739,0.0,5.247927513443589,377.23060941828254,merge
39,0.47368421052631576,401,0.6789435642742104,0.0,5.285402218862247,3205.353057199211,quick
692,0.47756874095513746,114404,0.6947988081757004,0.19653179190751446,7.000268797910219,1614.6607366600956,quick
426,0.49411764705882355,43707,0.725739383065916,0.25821596244131456,7.586024102969533,5409.494125945028,quick
254,0.0,32131,0.6619851685495972,0.0,7.988684686772128,21293.936077872153,merge
114,0.5132743362831859,3176,0.6631117908017287,0.19298245614035087,4.357980620523124,41.62273007079101,quick
1453,0.493801652892562,522399,0.7178253398100055,0.0,10.504818987632634,4165272.666085641,quick
376,0.48,34864,0.7108842371487618,0.0,8.554588851677584,283785.36729713675,quick
108,0.8317757009345794,772,1.69402825089764,0.0,6.754887502163458,4136.256087105624,insertion
1734,0.0,1502511,0.7209540205087116,0.0,10.759888183221756,1028496.7837150736,merge
192,0.5235602094240838,9163,0.7161284798954785,0.0,7.584962500721179,76233.04513888889,quick
414,0.48426150121065376,42876,0.7873614882416283,0.2560386473429952,7.555747207666791,5033.001102709515,quick
19,0.5555555555555556,86,0.4457192974977249,0.0,4.247927513443583,597.1578947368421,insertion
47,0.5652173913043478,489,0.7078778517779586,0.19148936170212766,3.0609641819747027,7.3037573562698075,quick
39,0.39473684210526316,290,0.7496125590273667,0.28205128205128205,4.092342603144791,53.889546351084824,quick
28,0.8518518518518519,20,1.3654112293413743,0.0,4.807354922057606,237.32015306122452,insertion
266,0.4716981132075472,18590,0.7457109969122112,0.19548872180451127,5.625694035930397,233.40252416756175,quick
477,1.0,0,0.7011395283136342,0.0,8.89784545600555,81300.83874143516,insertion
39,0.4473684210526316,286,0.7381337099015829,0.2564102564102564,4.3361829878711236,54.67587113740961,quick
13,0.5,32,0.6236095642544537,0.15384615384615385,2.4416298737872246,3.8224852071005917,insertion
44,0.0,946,0.6003874714870427,0.0,5.4594316186372955,573.1797520661156,merge
42,1.0,0,0.5410017805299584,0.0,5.3923174227787625,584.4200680272108,insertion
896,0.49273743016759775,201864,0.7357512608948041,0.0,9.80735492205754,1636430.6708971919,quick
350,0.501432664756447,30208,0.7394454436017789,0.2571428571428571,7.223873006680838,3531.5397959183674,quick
1718,0.5090273733255678,749571,0.7066787016038196,0.1909196740395809,8.262971182444819,9950.680176071752,quick
18,1.0,0,0.7171005794002349,0.0,4.169925001442312,112.58333333333333,insertion
1783,0.4988776655443322,791416,0.7586488117153464,0.27201346045989905,9.647103217394072,90948.13643090834,quick
347,0.4797687861271676,30598,0.6991454480016085,0.0,8.438791852578266,247277.96752734427,quick
1036,0.5140096618357488,268242,0.7324640034755171,0.26544401544401547,8.825731867934964,31036.513493947612,quick
16,0.5333333333333333,41,0.6762159998986585,0.25,2.7272170014624826,3.80859375,insertion
1801,0.0,1620900,0.7153087907715101,0.0,10.8145824659065,1054340.2826457387,merge
1906,0.49081364829396323,919048,0.7675191914398247,0.2743966421825813,9.708952655649412,102709.41763735,quick
24,0.5217391304347826,148,0.6409056273797589,0.0,4.584962500721156,910.5208333333334,quick
459,1.0,0,0.6558996400224163,0.0,8.84235034341392,71493.7040454526,insertion
39,0.5263157894736842,354,0.7051685071478176,0.0,5.285402218862247,3494.9309664694288,quick
1404,0.8339272986457591,117635,1.8439660203096044,0.0,10.455327220304584,655746.3890486888,merge
688,0.0,236328,0.6862127352470834,0.0,9.426264754702073,166096.50052181922,merge
1710,0.0,1461195,0.6853475605905972,0.0,10.739780609773325,959249.960615574,merge
1122,0.0,628881,0.7052076578577531,0.0,10.131856960608971,413342.40804395,merge
1622,0.5021591610117212,653794,0.6881478928578857,0.19112207151664612,8.167180227857669,8896.820247871057,quick
999,1.0,0,0.6809115614804658,0.0,9.964340867792272,333738.4081759437,merge
1177,1.0,0,0.7186320742749583,0.0,10.200898605038613,457141.0855616247,merge
23,0.5,110,0.8197459888147164,0.2608695652173913,3.2405282602167116,11.096408317580343,insertion
45,0.5227272727272727,411,0.6750057153616852,0.2,3.1015222640488256,6.969876543209876,quick
11,0.6,29,0.8164965804741169,0.36363636363636365,2.1867043459100244,2.2479338842975207,insertion
1543,0.5071335927367056,586544,0.7384240348233017,0.26117952041477643,9.360764664883499,63889.00930466401,quick
29,0.5714285714285714,121,0.6460304724776122,0.1724137931034483,2.194695016511119,2.111771700356718,insertion
39,0.868421052631579,55,1.431641754436738,0.0,5.285402218862247,579.7882971729126,insertion
37,0.4722222222222222,366,0.7175075968752868,0.0,5.209453365628954,3157.0021913805704,quick
48,0.0,1128,0.6358107570218365,0.0,5.5849625007211605,750.6245659722223,merge
172,1.0,0,0.6375207825095421,0.0,7.426264754702066,10205.116143861545,insertion
23,0.8636363636363636,8,0.8141040006839917,0.0,4.523561956057013,166.593572778828,insertion
1406,0.0,987715,0.6959465759139378,0.0,10.45738087907227,674034.6705867356,merge
403,0.8333333333333334,10348,1.9143427498419745,0.0,8.65463602852797,56607.69793545924,merge
333,0.5,27045,0.7199335078106974,0.0,8.379378367071293,241345.61309056802,quick
201,0.525,10061,0.697824964782609,0.18407960199004975,5.139581294110215,118.79349521051459,quick
21,0.0,210,0.6169850979151854,0.0,4.39231742277876,131.74603174603175,heap
50,0.7959183673469388,173,1.3147497169443692,0.0,5.643856189774728,789.4404000000001,insertion
1126,0.5004444444444445,317991,0.7666384464596482,0.283303730017762,8.965148845787624,35946.09622392095,quick
947,0.8340380549682875,46134,1.9064447136675728,0.0,9.887220615468369,303320.11768392153,merge
84,0.8313253012048193,422,1.513416002712644,0.0,6.39231742277876,2171.0266439909296,insertion
863,0.5034802784222738,184577,0.7668160049109711,0.2746234067207416,8.505420959166644,20387.711752234587,quick
34,0.0,561,0.5376453289129408,0.0,5.087462841250338,374.71712802768167,merge
835,0.5083932853717026,170961,0.7123029905640572,0.19041916167664671,7.214915570454565,2426.4388310803542,quick
44,0.5348837209302325,483,0.7003693910363956,0.0,5.4594316186372955,4270.49173553719,quick
31,0.8666666666666667,48,1.4404139138150935,0.0,4.954196310386877,313.0551508844952,insertion
27,0.5,176,0.741072786526358,0.0,4.754887502163471,1356.8916323731141,quick
12,0.0,66,0.8062257743864307,0.0,3.584962500721156,39.90972222222222,insertion
1429,0.5217086834733894,534577,0.7109182811331,0.19384184744576627,8.021938789434751,6932.800721435073,quick
135,1.0,0,0.6501924554616547,0.0,7.076815597050856,5875.983209876544,insertion
11,0.5,31,0.8895972230177824,0.18181818181818182,2.5503407095463886,4.016528925619834,insertion
50,0.5102040816326531,617,0.6948670639643199,0.3,4.7132696895151085,67.12,quick
623,0.5096463022508039,98303,0.7004778934730732,0.1926163723916533,6.783634693619739,1238.4597131366118,quick
17,0.625,64,0.9999999989999999,0.23529411764705882,2.133387491316597,1.6608996539792387,insertion
57,0.0,1596,0.8131295699524568,0.0,5.832890014164737,1144.8051708217913,merge
